,artist,collab,weight
0,deadmau5,Morgan Page,1
1,deadmau5,Tinlicker,1
2,deadmau5,Grégory Reveret,1
3,deadmau5,Rinzen,2
4,deadmau5,Seismal D,1
5,deadmau5,Sian,1
6,deadmau5,Pig&Dan,2
7,deadmau5,No Mana,1
8,deadmau5,Mad Zach,1
9,deadmau5,Gallya,2
10,deadmau5,Spencer Brown,1
11,deadmau5,Mr. Bill,2
12,deadmau5,Matt Lange,1
13,deadmau5,Dom Kane,1
14,deadmau5,PEEKABOO,1
15,deadmau5,SHOTTY HORROH,3
16,deadmau5,J. Worra,1
17,SHOTTY HORROH,J. Worra,1
18,deadmau5,C.O.Z,1
19,SHOTTY HORROH,C.O.Z,1
20,Scene of Action,deadmau5,3
21,Scene of Action,Mark Mackenzie,1
22,deadmau5,Mark Mackenzie,1
23,Scene of Action,OFFAIAH,1
24,deadmau5,OFFAIAH,1
25,deadmau5,Lights,2
26,deadmau5,Chris Lorenzo,1
27,Lights,Chris Lorenzo,1
28,deadmau5,Monstergetdown,1
29,deadmau5,Rob Swire,10
30,Getter,"nothing,nowhere.",1
31,deadmau5,Latroit,1
32,Rob Swire,Latroit,1
33,deadmau5,ATTLAS,1
34,Rob Swire,ATTLAS,1
35,deadmau5,Grabbitz,2
36,Billy Newton-Davis,deadmau5,5
37,Melleefresh,deadmau5,13
38,deadmau5,Kaskade,4
39,deadmau5,Chris James,4
40,deadmau5,Dillon Francis,1
41,deadmau5,Chuckie,1
42,Rob Swire,Chuckie,1
43,deadmau5,Eric Prydz,2
44,Eric Prydz,Chris James,2
45,deadmau5,Botnek,1
46,deadmau5,Madeon,1
47,deadmau5,Michael Woods,2
48,deadmau5,Shiba San,1
49,Kaskade,Shiba San,1
50,deadmau5,Wax Motif,1
51,deadmau5,NERO,2
52,Rob Swire,NERO,2
53,deadmau5,SOFI,1
54,deadmau5,Cobra Effect,1
55,deadmau5,Chris Lake,2
56,Chris Lake,Michael Woods,1
57,deadmau5,WEISS,1
58,deadmau5,Maywald,1
59,deadmau5,Michael Cassette,1
60,How To Destroy Angels,deadmau5,1
61,Nine Inch Nails,deadmau5,2
62,deadmau5,Colleen D'agostino,1
63,deadmau5,Billy Newton-Davis,1
64,deadmau5,Redux,1
65,Melleefresh,Electro,1
66,deadmau5,Electro,1
67,deadmau5,Wolfgang Gartner,2
68,deadmau5,Gerard Way,2
69,deadmau5,Cypress Hill,2
70,deadmau5,Imogen Heap,2
71,deadmau5,MC Flipside,2
72,Tinlicker,Dosem,2
73,Tinlicker,Run Rivers,4
74,Tinlicker,Joris Delacroix,1
75,Run Rivers,Joris Delacroix,1
76,Tinlicker,Tom Zeta,2
77,Tinlicker,Belle Doron,3
78,Tinlicker,Grum,2
79,Belle Doron,Grum,2
80,Tinlicker,Deeparture,2
81,alt-J,Tinlicker,1
82,Tinlicker,Thomas Oliver,2
83,Tinlicker,Helsloot,1
84,Tinlicker,Devries,1
85,Tinlicker,Laura Louise,1
86,Sian,AG Fernandez,7
87,Sian,CL,1
88,No Mana,Chipzel,1
89,No Mana,Jantine,1
90,No Mana,Voicians,1
91,No Mana,EDDIE,1
92,No Mana,i_o,1
93,No Mana,Fay,1
94,i_o,Fay,1
95,No Mana,Electrocado,1
96,No Mana,Colleen D'agostino,1
97,Mr. Bill,Sorrow,1
98,Mr. Bill,eliderp,3
99,Mr. Bill,sophro,1
100,eliderp,sophro,1
101,Mr. Bill,The Widdler,1
102,Mr. Bill,kLL sMTH,1
103,Mr. Bill,Skope,2
104,Mr. Bill,JustJono,1
105,Mr. Bill,Funi,1
106,Mr. Bill,Patrick Leonard,1
107,Mr. Bill,Au5,10
108,Mr. Bill,Bloom,1
109,Mr. Bill,Jeto,1
110,Au5,Bloom,1
111,Au5,Jeto,1
112,Bloom,Jeto,1
113,Mr. Bill,Clockvice,1
114,Au5,Clockvice,1
115,Mr. Bill,Encanti,2
116,Au5,Encanti,2
117,Mr. Bill,Vorso,1
118,Au5,Vorso,1
119,Encanti,Vorso,1
120,Mr. Bill,COPYCATT,1
121,Au5,COPYCATT,1
122,Mr. Bill,Roger Wilco,1
123,Au5,Roger Wilco,1
124,Mr. Bill,Freddy Todd,1
125,Mr. Bill,Tha Fruitbat,2
126,Mr. Bill,Evoke,1
127,Mr. Bill,Slynk,1
128,Mr. Bill,Kursa,2
129,Mr. Bill,None Like Joshua,1
130,Mr. Bill,The Noisy Freaks,1
131,Mr. Bill,Video Cat,1
132,Mr. Bill,Fine Cut Bodies,1
133,Mr. Bill,Stickybuds,1
134,Mr. Bill,Gruff,1
135,Mr. Bill,Hedflux,1
136,Mr. Bill,Tyrone J Bain,2
137,Mr. Bill,Desiseq,1
138,Mr. Bill,Love,1
139,Mr. Bill,Light,1
140,Love,Light,1
141,Mr. Bill,Mister Rogers,1
142,Tha Fruitbat,Mister Rogers,1
143,Mr. Bill,Loom In Essence,1
144,Mr. Bill,Mustard Tiger,1
145,Mr. Bill,KiloWatts,1
146,Mr. Bill,Mussck,1
147,Mr. Bill,Eelko,1
148,Mussck,Eelko,1
149,Mr. Bill,ill-esha,2
150,Mr. Bill,Goosebumpz,1
151,Mr. Bill,Viscer,1
152,Mr. Bill,iONik,1
153,Mr. Bill,Haywyre,1
154,Mr. Bill,Hypnagog,1
155,Mr. Bill,Sable,1
156,Mr. Bill,The Mollusk,1
157,Sable,The Mollusk,1
158,Mr. Bill,Protostar,1
159,Mr. Bill,Crazy Daylight,1
160,Mr. Bill,Chris Komus,1
161,Mr. Bill,Tom Cosm,1
162,Mr. Bill,Chase Bosward,1
163,Tyrone J Bain,Chase Bosward,1
164,Mr. Bill,Scott Sizemore,1
165,Paul Whitehead,Dom Kane,23
166,Bison Briggz,SHOTTY HORROH,7
167,SHOTTY HORROH,Sha Hustle,1
168,SHOTTY HORROH,JD Era,1
169,SHOTTY HORROH,Bluey Robinson,1
170,SHOTTY HORROH,Madchild,1
171,SHOTTY HORROH,Lindo P,1
172,SHOTTY HORROH,Rick Walker,1
173,Lights,MYTH,8
174,Lights,Owl City,2
175,Lights,Max Kerman,2
176,Lights,Cœur De Pirate,2
177,Lights,Colin Munroe,1
178,Lights,The Angry Kids,1
179,Chris Lorenzo,Chynna,1
180,Chris Lorenzo,Jinadu,1
181,Chris Lorenzo,Denise,1
182,Chris Lorenzo,Puppah Nas-T,1
183,Denise,Puppah Nas-T,1
184,Chris Lorenzo,Dances With White Girls,1
185,Chris Lorenzo,Cause & Affect,1
186,Chris Lorenzo,The Streets,1
187,Chris Lorenzo,Redlight,1
188,Chris Lorenzo,Marc Spence,1
189,Chris Lorenzo,Aubrey,1
190,Marc Spence,Aubrey,1
191,Chris Lorenzo,Chris Lake,1
192,Chris Lorenzo,Sam Nicolosi,1
193,Chris Lake,Sam Nicolosi,1
194,Chris Lorenzo,Sonny Fodera,1
195,Chris Lorenzo,DJ Zinc,1
196,Chris Lorenzo,Alex Mills,1
197,Chris Lorenzo,Katy B,1
198,Born in 92',Monstergetdown,17
199,"nothing,nowhere.",MISOGI,2
200,"nothing,nowhere.",KennyHoopla,2
201,"nothing,nowhere.",JUDGE,2
202,KennyHoopla,JUDGE,2
203,"nothing,nowhere.",Lil West,1
204,"nothing,nowhere.",Dashboard Confessional,1
205,"nothing,nowhere.",Mikey The Magician,1
206,"nothing,nowhere.",Olicolor,1
207,"nothing,nowhere.",mou$etrap,1
208,"nothing,nowhere.",ʎpoqou,1
209,ATTLAS,Lambert,1
210,ATTLAS,Alisa Xayalith,1
211,ATTLAS,MAYLYN,1
212,Grabbitz,LAYNE,1
213,Kaskade,Ella Vos,1
214,Kaskade,Cop Kid,1
215,Kaskade,Cayson Renshaw,1
216,Kaskade,Lipless,3
217,Kaskade,Marcus Bently,4
218,Kaskade,PYFER,2
219,Kaskade,The Moth & The Flame,1
220,Kaskade,Late Night Alumni,12
221,Kaskade,Skylar Grey,7
222,Kaskade,Finnstagram,2
223,Kaskade,Lucid Luv,1
224,Kaskade,Yuck Norris,3
225,Kaskade,Audiotreats,1
226,Kaskade,Blue Noir,2
227,Yuck Norris,Audiotreats,1
228,Yuck Norris,Blue Noir,1
229,Audiotreats,Blue Noir,1
230,Bobbi James,Kaskade,1
