,artist,collab,weight
0,Drake,Lil Baby,2
1,Drake,Lil Durk,1
2,Drake,Giveon,2
3,Lil Durk,Giveon,1
4,Drake,JAY-Z,4
5,Drake,Travis Scott,4
6,Drake,Future,15
7,Drake,Young Thug,4
8,Future,Young Thug,26
9,Drake,Yebba,1
10,Drake,21 Savage,1
11,Drake,Project Pat,1
12,21 Savage,Project Pat,1
13,Drake,Tems,1
14,Drake,Ty Dolla $ign,2
15,Drake,Lil Wayne,18
16,Drake,Rick Ross,3
17,Lil Wayne,Rick Ross,7
18,Drake,Kid Cudi,1
19,Drake,Chris Brown,2
20,Future,Drake,10
21,Drake,Playboi Carti,1
22,Drake,Fivio Foreign,1
23,Drake,Sosa Geek,1
24,Fivio Foreign,Sosa Geek,2
25,Drake,J. Cole,1
26,Drake,James Fauntleroy,1
27,Drake,Trey Songz,1
28,Trey Songz,Lil Wayne,2
29,Drake,Peter Bjorn and John,1
30,Drake,Lloyd,1
31,Drake,Lykke Li,1
32,Drake,Santigold,1
33,Santigold,Lil Wayne,1
34,Drake,Bun B,3
35,Bun B,Lil Wayne,3
36,Drake,Omarion,1
37,Drake,Chilly Gonzales,1
38,Drake,Michael Jackson,1
39,Drake,Static Major,1
40,Static Major,Ty Dolla $ign,1
41,Drake,Giggs,2
42,Drake,Black Coffee,1
43,Drake,Jorja Smith,1
44,Black Coffee,Jorja Smith,1
45,Drake,Sampha,2
46,Drake,Quavo,1
47,Quavo,Travis Scott,2
48,Drake,2 Chainz,2
49,2 Chainz,Young Thug,2
50,Drake,Kanye West,2
51,Drake,PARTYNEXTDOOR,4
52,Drake,dvsn,1
53,Drake,Pimp C,1
54,dvsn,Pimp C,1
55,Drake,WizKid,1
56,Drake,Kyla,1
57,WizKid,Kyla,1
58,Drake,Rihanna,2
59,Drake,Majid Jordan,2
60,Drake,Jhené Aiko,1
61,Drake,Detail,1
62,Drake,Big Sean,1
63,2 Chainz,Big Sean,6
64,Drake,The Weeknd,1
65,Drake,Kendrick Lamar,1
66,Drake,Birdman,1
67,Drake,Nicki Minaj,3
68,Drake,André 3000,1
69,Lil Wayne,André 3000,1
70,Drake,Alicia Keys,1
71,Drake,T.I.,1
72,Drake,Swizz Beatz,1
73,T.I.,Swizz Beatz,3
74,Drake,The-Dream,1
75,Drake,Jeezy,2
76,Lil Baby,Lil Durk,20
77,Lil Baby,Travis Scott,1
78,Lil Durk,Travis Scott,1
79,Lil Baby,Meek Mill,2
80,Lil Durk,Meek Mill,4
81,Lil Baby,Young Thug,7
82,Lil Durk,Young Thug,4
83,Lil Baby,Rod Wave,1
84,Lil Durk,Rod Wave,1
85,Lil Durk,Lil Baby,5
86,Lil Durk,Pooh Shiesty,1
87,Lil Durk,Sydny August,1
88,Lil Durk,King Von,7
89,Lil Durk,6LACK,1
90,6LACK,Young Thug,1
91,Lil Durk,YNW Melly,2
92,Lil Durk,Booka600,5
93,Lil Durk,Polo G,2
94,Lil Baby,Polo G,1
95,Lil Durk,Gunna,3
96,Lil Durk,G Herbo,2
97,Lil Durk,Only The Family,10
98,Lil Durk,Jusblow600,1
99,Only The Family,King Von,5
100,Only The Family,Jusblow600,1
101,King Von,Jusblow600,1
102,Lil Durk,NLE Choppa,1
103,Only The Family,NLE Choppa,1
104,Only The Family,Polo G,1
105,Only The Family,Booka600,7
106,Only The Family,C3,2
107,Only The Family,G Herbo,1
108,Booka600,G Herbo,1
109,Lil Durk,Lil Tjay,1
110,Only The Family,Lil Tjay,1
111,Only The Family,MK,1
112,Only The Family,Otf Ikey,7
113,Only The Family,Doodie Lo,9
114,Only The Family,Memo600,4
115,Doodie Lo,Memo600,1
116,Lil Durk,21 Savage,2
117,Lil Durk,A Boogie Wit da Hoodie,2
118,Lil Durk,Nicki Minaj,1
119,Lil Durk,Key Glock,1
120,Lil Durk,Future,3
121,Lil Durk,Ty Dolla $ign,3
122,Ty Dolla $ign,A Boogie Wit da Hoodie,1
123,Lil Durk,Kevin Gates,1
124,Lil Durk,TK Kravitz,2
125,Gunna,TK Kravitz,1
126,Lil Durk,Kodak Black,1
127,Lil Durk,Young Dolph,2
128,Young Dolph,Lil Baby,1
129,Lil Durk,Lil Skies,1
130,Lil Durk,PARTYNEXTDOOR,1
131,Ty Dolla $ign,PARTYNEXTDOOR,1
132,Tee Grizzley,Lil Durk,14
133,Lil Durk,Derez De’Shon,2
134,Lil Durk,Moneybagg Yo,2
135,Lil Durk,YFN Lucci,4
136,Lil Durk,Lil Reese,3
137,Lil Durk,Mozzy,1
138,Lil Durk,Otf Ikey,2
139,Mozzy,Otf Ikey,1
140,Lil Durk,Hypno Carlito,3
141,Lil Durk,DeJ Loaf,3
142,Lil Durk,BJ The Chicago Kid,1
143,Lil Durk,Yo Gotti,2
144,Lil Durk,Zona Man,1
145,Zona Man,Future,2
146,Lil Durk,Jeremih,1
147,Lil Durk,Logic,1
148,Lil Durk,King Popo,1
149,Lil Durk,Johnny May Cash,1
150,Lil Durk,Migos,1
151,Lil Durk,Cash Out,1
152,Migos,Cash Out,1
153,Lil Durk,French Montana,2
154,Lil Durk,Soulja Boy,1
155,JAY-Z,Gloria Carter,1
156,JAY-Z,Frank Ocean,6
157,JAY-Z,Beyoncé,8
158,JAY-Z,Damian Marley,1
159,JAY-Z,Justin Timberlake,1
160,JAY-Z,Rick Ross,2
161,JAY-Z,Kanye West,34
162,JAY-Z,The-Dream,2
163,Kanye West,Frank Ocean,4
164,Kanye West,The-Dream,3
165,Frank Ocean,The-Dream,2
166,Kanye West,Beyoncé,2
167,JAY-Z,Otis Redding,2
168,Kanye West,Otis Redding,2
169,JAY-Z,Mr Hudson,3
170,Kanye West,Mr Hudson,2
171,Kanye West,JAY-Z,7
172,JAY-Z,Curtis Mayfield,2
173,Kanye West,Curtis Mayfield,2
174,JAY-Z,Eminem,1
175,JAY-Z,Faith Evans,2
176,JAY-Z,The Notorious B.I.G.,5
177,Faith Evans,The Notorious B.I.G.,27
178,JAY-Z,Dr. Dre,1
179,JAY-Z,Rakim,1
180,JAY-Z,Truth Hurts,1
181,Dr. Dre,Rakim,1
182,Dr. Dre,Truth Hurts,1
183,Rakim,Truth Hurts,1
184,JAY-Z,Sean Paul,1
185,JAY-Z,LaToiya Williams,1
186,JAY-Z,Big Boi,1
187,JAY-Z,Killer Mike,1
188,JAY-Z,Twista,4
189,Big Boi,Killer Mike,10
190,Big Boi,Twista,1
191,Killer Mike,Twista,1
192,JAY-Z,Lenny Kravitz,1
193,JAY-Z,M.O.P.,1
194,JAY-Z,Beanie Sigel,34
195,JAY-Z,Scarface,3
196,Beanie Sigel,Scarface,7
197,JAY-Z,Young Chris,2
198,JAY-Z,Memphis Bleek,25
199,JAY-Z,Freeway,6
200,JAY-Z,Young Gunz,1
201,JAY-Z,Peedi Crakk,1
202,JAY-Z,Sparks,1
203,JAY-Z,Rell,3
204,Memphis Bleek,Freeway,6
205,Memphis Bleek,Young Gunz,2
206,Memphis Bleek,Peedi Crakk,2
207,Memphis Bleek,Sparks,1
208,Memphis Bleek,Rell,5
209,Freeway,Young Gunz,3
210,Freeway,Peedi Crakk,8
211,Freeway,Sparks,3
212,Freeway,Rell,3
213,Young Gunz,Peedi Crakk,1
214,Young Gunz,Sparks,1
215,Young Gunz,Rell,1
216,Peedi Crakk,Sparks,1
217,Peedi Crakk,Rell,1
218,Sparks,Rell,1
219,JAY-Z,DJ Clue,1
220,JAY-Z,Luke Steele,1
221,JAY-Z,Rihanna,1
222,Rihanna,Kanye West,1
223,JAY-Z,Alicia Keys,1
224,JAY-Z,Jeezy,3
225,JAY-Z,Swizz Beatz,3
226,JAY-Z,Drake,1
227,JAY-Z,J. Cole,1
228,JAY-Z,Kid Cudi,1
229,JAY-Z,Pharrell Williams,3
230,JAY-Z,Lil Wayne,2
231,JAY-Z,Nas,4
232,JAY-Z,Idris Elba,1
233,JAY-Z,DJ Green Lantern,7
234,Memphis Bleek,DJ Green Lantern,7
235,JAY-Z,Chrisette Michele,2
236,JAY-Z,John Legend,2
237,JAY-Z,Usher,2
238,Usher,Pharrell Williams,3
239,JAY-Z,Sterling Simms,2
240,JAY-Z,Ne-Yo,2
241,JAY-Z,Chris Martin,2
242,JAY-Z,UGK,3
243,JAY-Z,Foxy Brown,6
244,JAY-Z,Mary J. Blige,3
245,Beanie Sigel,Memphis Bleek,7
246,JAY-Z,Snoop Dogg,2
247,Memphis Bleek,Snoop Dogg,2
248,JAY-Z,Dynasty,2
249,JAY-Z,R. Kelly,2
250,JAY-Z,Lil' Mo,2
251,Memphis Bleek,Lil' Mo,2
252,Memphis Bleek,Beanie Sigel,17
253,Lil' Mo,Beanie Sigel,2
254,Beanie Sigel,Freeway,17
255,Freeway,Beanie Sigel,11
256,JAY-Z,Amil,5
257,Amil,Beanie Sigel,4
258,JAY-Z,Mariah Carey,1
259,JAY-Z,JUVENILE,1
260,Memphis Bleek,Amil,3
261,JAY-Z,Timbaland,1
262,JAY-Z,Da Ranjahz,1
263,JAY-Z,Big Jaz,3
264,JAY-Z,DMX,3
265,JAY-Z,Too $hort,3
266,JAY-Z,Ja Rule,1
267,Amil,Ja Rule,1
268,JAY-Z,The LOX,2
269,JAY-Z,Sauce Money,4
270,The LOX,Sauce Money,1
271,The LOX,Beanie Sigel,1
272,Sauce Money,Beanie Sigel,1
273,JAY-Z,Kid Capri,1
274,Memphis Bleek,JAY-Z,23
275,JAY-Z,Jermaine Dupri,2
276,JAY-Z,Blackstreet,2
277,JAY-Z,Diddy,3
278,JAY-Z,Lil' Kim,2
279,Diddy,Lil' Kim,12
280,JAY-Z,Babyface,2
281,Babyface,Foxy Brown,2
282,JAY-Z,Mecca,1
283,Big Jaz,Sauce Money,1
284,JAY-Z,Melissa Morgan,1
285,Future,Lil Uzi Vert,23
286,Future,Travis Scott,2
287,Future,YoungBoy Never Broke Again,1
288,Future,Lil Durk,1
289,Future,Meek Mill,1
290,Future,Doe Boy,2
291,Meek Mill,Doe Boy,1
292,Future,DaBaby,1
293,Future,Lil Baby,1
294,Drake,DaBaby,1
295,DaBaby,Lil Baby,1
296,Future,Gunna,3
297,Young Thug,Gunna,26
298,Future,Juice WRLD,12
299,Future,Young Scooter,11
300,Juice WRLD,Young Scooter,1
301,Juice WRLD,Young Thug,2
302,Future,Lil Wayne,6
303,Future,Yung Bans,2
304,Juice WRLD,Yung Bans,1
305,Juice WRLD,Gunna,1
306,Future,Nicki Minaj,2
307,Sleepy Brown,Scar,1
308,Future,21 Savage,1
309,Future,PARTYNEXTDOOR,1
310,Khalid,H.E.R.,1
311,Rich The Kid,Rico Love,1
312,G Herbo,21 Savage,4
313,Lil Jon,Bangladesh,1
314,Lil Jon,Freeway,1
315,Lil Jon,CyHi The Prynce,1
316,Bangladesh,Freeway,1
317,Bangladesh,CyHi The Prynce,1
318,Freeway,CyHi The Prynce,1
319,Lecrae,Sean Garrett,1
320,Lecrae,Crystal Nicole,1
321,Sean Garrett,Crystal Nicole,1
322,Rick Ross,Smif-N-Wessun,1
323,Future,Sleepy Brown,1
324,Future,Offset,1
325,Young Thug,Offset,3
326,Future,The Weeknd,2
327,Future,Rihanna,1
328,Future,Chris Brown,1
329,Future,Kendrick Lamar,2
330,Future,YG,1
331,Future,Gucci Mane,12
332,Gucci Mane,Young Thug,71
333,Future,Juicy J,5
334,Gucci Mane,Juicy J,2
335,Future,2 Chainz,4
336,Gucci Mane,2 Chainz,19
337,Gucci Mane,Drake,5
338,2 Chainz,Drake,5
339,Future,Diddy,2
340,Future,Pharrell Williams,3
341,Future,Ludacris,5
342,Future,Pusha T,4
343,Future,Casino,4
344,Diddy,Pharrell Williams,1
345,Diddy,Ludacris,2
346,Diddy,Pusha T,2
347,Diddy,Casino,1
348,Pharrell Williams,Ludacris,1
349,Pharrell Williams,Pusha T,7
350,Pharrell Williams,Casino,3
351,Ludacris,Pusha T,2
352,Ludacris,Casino,1
353,Pusha T,Casino,3
354,Future,Zaytoven,8
355,Zaytoven,Young Scooter,4
356,Future,JUVENILE,1
357,Zaytoven,JUVENILE,1
358,Future,The Juvenile,1
359,Future,Jeezy,4
360,Future,A$AP Ferg,1
361,Juicy J,A$AP Ferg,1
362,Future,Rick Ross,4
363,Future,Tracy T,1
364,Rick Ross,Tracy T,2
365,Future,André 3000,3
366,Future,Keyshia Cole,1
367,Future,Trina,1
368,Future,French Montana,2
369,Future,Rico Love,1
370,Future,Lil Meta,1
371,Lil Wayne,Kendrick Lamar,2
372,Future,Detail,1
373,Future,Fly Boyz,1
374,Future,Wiz Khalifa,2
375,Future,Kanye West,1
376,Future,Birdman,3
377,Rick Ross,French Montana,5
378,Rick Ross,Birdman,1
379,French Montana,Birdman,1
380,Future,T.I.,4
381,T.I.,Birdman,2
382,T.I.,Wiz Khalifa,2
383,T.I.,2 Chainz,3
384,Birdman,Wiz Khalifa,1
385,Birdman,2 Chainz,1
386,Wiz Khalifa,2 Chainz,4
387,Future,Mexico Rann,2
388,Doe Boy,Mexico Rann,2
389,Future,Soulja Boy,2
390,Future,Fat Joe,1
391,Future,Mack Maine,1
392,Lil Wayne,Birdman,5
393,Lil Wayne,Mack Maine,5
394,Birdman,Mack Maine,4
395,Future,Bin Bank Black,1
396,Future,Trey Songz,1
397,Future,Sean Garrett,1
398,Trey Songz,Sean Garrett,1
399,Future,Drumma Boy,1
400,Future,Young Dolph,1
401,Drumma Boy,Young Dolph,4
402,Future,Gorilla Zoe,1
403,Future,Swift,1
404,Gorilla Zoe,Swift,1
405,Jeezy,Ludacris,1
406,Jeezy,T.I.,10
407,Ludacris,T.I.,1
408,Future,Yo Gotti,4
409,Rick Ross,Yo Gotti,7
410,Rick Ross,T.I.,4
